study_code,original_code,rad_assignment,caps_assignment,final_assignment
PSGTS_7903,not_available,BLU,,BLU
PSGTS_7904,not_available,BLU,,BLU
PSGTS_7905,not_available,BLU,,BLU
PSGTS_7913,not_available,BLU,,BLU
PSGTS_7919,not_available,BLU,,BLU
PSGTS_7920,not_available,BLU,,BLU
PSGUB_7766,not_available,BLU,,BLU
PSGUB_7789,not_available,BLU,,BLU
PSGYD_7812,not_available,BLU,,BLU
PSGYD_7815,not_available,BLU,,BLU
PSGYD_7817,not_available,BLU,,BLU
PSGYD_7819,not_available,BLU,,BLU
PSGYD_7829,not_available,BLU,,BLU
PSGYS_7878,not_available,BLU,,BLU
PSGYS_7880,not_available,BLU,,BLU
PSGYS_7890,not_available,BLU,,BLU
PSPGD_0959,not_available,BLU,,BLU
PSPGD_0970,not_available,BLU,,BLU
PSPGS_1065,not_available,BLU,,BLU
PSPGS_1075,not_available,BLU,,BLU
PSPVD_1254,not_available,BLU,,BLU
PSPVS_1307,not_available,BLU,,BLU
PSPVS_1319,not_available,BLU,,BLU
PSPVS_1347,not_available,BLU,,BLU
PSPVD_1245,PNG1245,BLU,BLU,BLU
PSPVD_1267,PNG1267,BLU,BLU,BLU
PSOKD_7058,not_available,BLU,,BLU
PSOSS_7170,not_available,BLU,,BLU
PSOSS_7174,not_available,BLU,,BLU
PSOSS_7184,not_available,BLU,,BLU
PSPGS_1095,not_available,BLU,,BLU
PSPVD_1223,not_available,BLU,,BLU
PSPVD_1235,not_available,BLU,,BLU
PSPVD_1249,not_available,BLU,,BLU
PSPVS_1353,not_available,BLU,,BLU
PSCHD_0041,DC0041,,BLU,BLU
PSCHD_0201,DC0201,,BLU,BLU
PSCHD_0212,DC0212,,BLU,BLU
PSCHD_0217,DC0217,,BLU,BLU
PSCHD_0220,DC0220,,BLU,BLU
PSCHD_0221,DC0221,,BLU,BLU
PSCHD_0239,DC0239,,BLU,BLU
PSCHD_0241,DC0241,,BLU,BLU
PSCHD_0242,DC0242,,BLU,BLU
PSCHX_0312,DC0312,,BLU,BLU
PSCFD_0393,DC0393,,BLU,BLU
PSCFD_0396,DC0396,,BLU,BLU
PSCFD_0406,DC0406,,BLU,BLU
PSCFX_0429,DC0429,,BLU,BLU
PSCFD_0466,DC0466,,BLU,BLU
PSCFD_0468,DC0468,,BLU,BLU
PSCFD_0469,DC0469,,BLU,BLU
PSCFD_0470,DC0470,,BLU,BLU
PSCFD_0473,DC0473,,BLU,BLU
PSCFD_0572,DC0572,,BLU,BLU
PSCFX_0661,DC0661,,BLU,BLU
PSCFX_0662,DC0662,,BLU,BLU
PSGMD_0767,DC0767,,BLU,BLU
PSGMD_0856,DC0856,,BLU,BLU
PSGMD_0860,DC0860,,BLU,BLU
PSGMD_0861,DC0861,,BLU,BLU
PSGMD_0862,DC0862,,BLU,BLU
PSGMB_1103,DC1103,,BLU,BLU
PSGMB_1106,DC1106,,BLU,BLU
PSGMB_1112,DC1112,,BLU,BLU
PSCVM_1337,DC1337,,BLU,BLU
PSCVD_1350,DC1350,,BLU,BLU
PSCVD_1354,DC1354,,BLU,BLU
PSCVM_1383,DC1383,,BLU,BLU
PSCVS_1386,DC1386,,BLU,BLU
PSCVD_1399,DC1399,,BLU,BLU
PSCVX_1392,DC1392,,BLU,BLU
PSCVX_1393,DC1393,,BLU,BLU
PSCVD_1395,DC1395,,BLU,BLU
PSCVD_1396,DC1396,,BLU,BLU
PSCVX_1411,DC1411,,BLU,BLU
PSCVD_1424,DC1424,,BLU,BLU
PSCVD_1425,DC1425,,BLU,BLU
PSCVD_1426,DC1426,,BLU,BLU
PSCVD_1429,DC1429,,BLU,BLU
PSCVD_1487,DC1487,,BLU,BLU
PSCVD_1575,DC1575,,BLU,BLU
PSCOD_1686,DC1686,,BLU,BLU
PSCOD_1699,DC1699,,BLU,BLU
PSCOS_1707,DC1707,,BLU,BLU
PSCOS_1716,DC1716,,BLU,BLU
PSCOS_1720,DC1720,,BLU,BLU
PSCOD_1812,DC1812,,BLU,BLU
PSCOD_1813,DC1813,,BLU,BLU
PSCOD_1814,DC1814,,BLU,BLU
PSCOD_1815,DC1815,,BLU,BLU
PSCOD_1875,DC1875,,BLU,BLU
PSCOD_1877,DC1877,,BLU,BLU
PSCOD_1880,DC1880,,BLU,BLU
