original_code,study_code,depth,lineage,chlorophyll_c2_ugcm2,peridin_ugcm2,fucoxanthin_Âµgcm2,chlorophyll_a_µgcm2,chlorophyll_a_pgcell,tot_xanthophyll_pool,protein,zooxs_cm2,lipids
DC1688,PSCOD_1688,40m,GRN,1.08439575,3.819014477,0.246511637,2.569851882,4.752755906,0.188369781,1.374512977,540707.7353,0.363378122
DC1689,PSCOD_1689,40m,GRN,1.493862678,4.851787239,0.293981722,3.7760319,6.669230769,0.18627451,0.995701195,566187.0208,0.666168368
DC1690,PSCOD_1690,40m,GRN,1.763357449,5.691376454,0.329885579,4.482362812,5.58869258,0.163505311,0.7872173,802041.3985,0.480127016
DC1691,PSCOD_1691,40m,GRN,1.675678337,5.557485133,0.291067503,4.144311601,3.727217125,0.157531999,0.977288467,1111905.065,0.152622413
DC1706,PSCOS_1706,10m,RED,2.410156916,7.300897411,0.513853801,5.595007126,3.96,0.17016317,2.504186147,1412880.587,0.398061079
DC1777,PSCOM_1777,20m,RED,2.000527473,6.300645308,0.372618809,5.046323293,10.19022801,0.13252781,1.345723228,495212.0096,0.248660235
DC1778,PSCOM_1778,20m,GRN,1.576110639,5.312646105,0.304458445,3.699631412,3.859893048,0.169160432,2.223936203,958480.2911,0.174006415
DC1779,PSCOM_1779,20m,RED,1.897600318,5.979748115,0.308576344,4.615667643,4.825628141,0.146829116,1.928097881,956490.5353,0.817500013
DC1780,PSCOM_1780,20m,GRN,3.173924841,10.7581728,0.527730971,7.684768141,4.030313015,0.150752126,1.365730131,1906742.259,0.29568294
DC1781,PSCOM_1781,20m,RED,2.428929954,6.804905767,0.386287655,5.517280249,4.166482505,0.132956153,0.607825157,1324205.788,0.309720772
DC1950,PSCOM_1950,20m,RED,3.177547856,9.189186355,0.489028482,7.954105119,4.541558442,0.123248499,2.633880307,1751404.33,0.482363606
DC1964,PSCOX_1964,60m,GRN,1.578194429,6.030288121,0.239251393,3.85828903,7.06021978,0.196115054,0.747147161,546482.8504,0.964670782
DC2024,PSCYM_2024,20m,BLU,3.072084143,8.895744006,0.516738071,7.772874358,4.244047619,0.120056101,1.735867839,1831476.707,0.427544464
DC2046,PSCYD_2046,40m,BLU,2.092279326,5.559405924,0.290850833,5.504005765,5.571028037,0.116087905,1.056176395,987969.4965,0.642789926
DC2049,PSCYD_2049,40m,RED,2.127688105,5.769168004,0.30603733,5.26639239,4.10556213,0.12244898,1.487197628,1282745.754,0.694970329
DC2050,PSCYD_2050,40m,BLU,1.811732644,4.441315363,0.271058882,3.980203701,1.73220339,0.109589041,1.674352312,2297769.26,0.348295814
DC2051,PSCYD_2051,40m,BLU,2.082556146,5.89747947,0.345544552,5.727493844,3.902531646,0.135257866,0.740144952,1467635.464,0.33003478
DC2052,PSCYD_2052,40m,BLU,1.516511103,5.014432807,0.278269171,3.578385079,2.784347826,0.170206121,1.025282468,1285178.901,0.212745249
DC2053,PSCYD_2053,40m,BLU,1.45888387,4.158546049,0.249609699,3.431527509,3.146666667,0.122881356,1.287973365,1090527.81,0.490607595
DC2066,PSCYS_2066,10m,RED,3.39295359,10.16228668,0.666515307,8.533290118,5.904163823,0.137763596,1.628273873,1445300.363,0.695446276
